date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2021-04-28,BUY,5,1773.199951171875,1784.0999755859375,0.6147092665358397,gold
2021-05-19,SELL,5,1881.300048828125,1901.300048828125,-1.06309464098819,gold
2021-06-16,SELL,5,1859.5,1782.300048828125,4.151651044467599,gold
2021-07-28,BUY,5,1799.5,1810.5,0.6112809113642679,gold
2021-08-09,BUY,5,1723.4000244140625,1786.9000244140625,3.6845769467590275,gold
2021-09-17,BUY,5,1749.4000244140625,1749.699951171875,0.017144549767166967,gold
2021-09-22,SELL,5,1776.699951171875,1721.5,3.1068808852877066,gold
2021-09-29,BUY,5,1721.5,1760.5,2.2654661632297417,gold
2021-11-03,BUY,5,1763.5999755859375,1847.5999755859375,4.762984869745866,gold
2021-11-29,BUY,5,1782.300048828125,1777.5,-0.2693176623813182,gold
2021-12-02,BUY,5,1760.699951171875,1774.5999755859375,0.7894601465065648,gold
2022-02-11,BUY,5,1840.800048828125,1898.5999755859375,3.1399350947762423,gold
2022-03-08,SELL,5,2040.0999755859375,1928.5,5.470318951103602,gold
2022-03-16,BUY,5,1908.0,1936.5999755859375,1.498950502407626,gold
2022-04-29,SELL,5,1909.300048828125,1881.199951171875,1.4717486480711637,gold
2022-05-04,BUY,5,1867.0,1852.5999755859375,-0.7712921485839582,gold
2022-06-15,BUY,5,1815.300048828125,1825.699951171875,0.5729026642435063,gold
2022-07-27,BUY,5,1719.0999755859375,1758.0,2.26281338877943,gold
2022-08-02,SELL,5,1771.0999755859375,1794.0,-1.2929831590385759,gold
2022-09-19,BUY,5,1666.199951171875,1623.300048828125,-2.57471513629427,gold
2022-09-26,BUY,5,1623.300048828125,1692.9000244140625,4.28756073999889,gold
2022-10-11,SELL,5,1678.699951171875,1649.0,1.7692233297047464,gold
2022-11-02,SELL,5,1645.699951171875,1710.0999755859375,-3.9132300130533717,gold
2022-12-01,SELL,5,1801.0999755859375,1788.699951171875,0.6884695231883782,gold
2023-01-19,BUY,5,1922.0999755859375,1929.0999755859375,0.3641850106088318,gold
2023-01-31,SELL,5,1929.5,1871.699951171875,2.9955972442666496,gold
2023-02-01,BUY,5,1927.800048828125,1877.4000244140625,-2.6143802851701228,gold
2023-03-17,BUY,5,1969.800048828125,1982.0999755859375,0.6244251422945177,gold
2023-03-22,BUY,5,1946.800048828125,1966.0999755859375,0.9913666670303445,gold
2023-04-13,SELL,5,2041.300048828125,2007.5999755859375,1.6509122831567131,gold
2023-04-14,BUY,5,2002.199951171875,1979.5,-1.1337504607663615,gold
2023-05-02,SELL,5,2014.300048828125,2036.199951171875,-1.0872214572248498,gold
2023-07-27,BUY,5,1945.4000244140625,1932.0,-0.6888056053200919,gold
2023-08-29,SELL,5,1936.5,1918.0999755859375,0.9501690892880197,gold
2023-09-27,BUY,5,1871.5999755859375,1818.5,-2.837143421596467,gold
2023-10-13,SELL,5,1927.4000244140625,1982.5,-2.858772174327855,gold
2023-11-10,BUY,5,1932.5999755859375,1981.5999755859375,2.5354445109699375,gold
2023-11-16,SELL,5,1983.9000244140625,2002.199951171875,-0.9224218223001089,gold
2023-12-04,BUY,5,2024.0999755859375,1978.0,-2.2775542780485662,gold
2024-02-13,BUY,5,1992.9000244140625,2022.300048828125,1.4752382986550705,gold
2024-03-01,SELL,5,2086.89990234375,2178.60009765625,-4.394086904192846,gold
2024-03-04,SELL,5,2117.699951171875,2182.5,-3.0599258781805463,gold
2024-04-05,SELL,5,2325.699951171875,2356.199951171875,-1.3114331444446066,gold
2024-04-22,BUY,5,2332.199951171875,2345.39990234375,0.5659871129506858,gold
2024-06-07,BUY,5,2305.199951171875,2331.39990234375,1.1365587249191096,gold
2024-10-31,BUY,5,2738.300048828125,2698.39990234375,-1.45711374841667,gold
2024-11-06,BUY,5,2667.60009765625,2580.800048828125,-3.253862859893708,gold
2024-11-11,BUY,5,2611.199951171875,2610.60009765625,-0.022972331757121586,gold
2024-11-25,BUY,5,2616.800048828125,2644.699951171875,1.0661839583901087,gold
2025-02-14,BUY,5,2883.60009765625,2947.89990234375,2.2298447256872405,gold
2025-02-25,BUY,5,2904.5,2909.60009765625,0.17559296458082285,gold
2025-04-03,BUY,5,3097.0,3155.199951171875,1.8792363956046172,gold
2025-04-04,BUY,5,3012.0,3222.199951171875,6.978750038906872,gold
2025-07-21,SELL,5,3401.89990234375,3309.10009765625,2.7278816940958572,gold
2025-10-09,BUY,5,3946.300048828125,4280.2001953125,8.46109374231512,gold
2025-10-17,BUY,5,4189.89990234375,4118.39990234375,-1.7064846814121803,gold
2025-10-21,BUY,5,4087.699951171875,3966.199951171875,-2.972331664538342,gold
2025-12-22,SELL,5,4444.60009765625,4370.10009765625,1.676191296474248,gold
2025-12-29,BUY,5,4325.10009765625,4482.2001953125,3.632288134588648,gold
2026-01-29,BUY,5,5318.39990234375,4861.39990234375,-8.5928100254102,gold
2026-01-30,BUY,5,4713.89990234375,4951.2001953125,5.0340545595964885,gold
2021-04-28,BUY,10,1773.199951171875,1822.5999755859375,2.7859252072173213,gold
2021-05-19,SELL,10,1881.300048828125,1871.199951171875,0.5368679845908376,gold
2021-06-16,SELL,10,1859.5,1770.800048828125,4.770096863236085,gold
2021-07-28,BUY,10,1799.5,1750.4000244140625,-2.7285343476486523,gold
2021-08-09,BUY,10,1723.4000244140625,1803.199951171875,4.630377487951099,gold
2021-09-17,BUY,10,1749.4000244140625,1757.0,0.43443326168255925,gold
2021-09-22,SELL,10,1776.699951171875,1760.5,0.9118000572460107,gold
2021-09-29,BUY,10,1721.5,1793.699951171875,4.194014009403137,gold
2021-11-03,BUY,10,1763.5999755859375,1869.699951171875,6.016102123764597,gold
2021-11-29,BUY,10,1782.300048828125,1786.300048828125,0.22442910230687751,gold
2021-12-02,BUY,10,1760.699951171875,1796.5999755859375,2.03896321972227,gold
2022-02-11,BUY,10,1840.800048828125,1899.4000244140625,3.1833971116658177,gold
2022-03-08,SELL,10,2040.0999755859375,1920.699951171875,5.85265554840123,gold
2022-03-16,BUY,10,1908.0,1933.5,1.3364779874213837,gold
2022-04-29,SELL,10,1909.300048828125,1807.4000244140625,5.337035657470699,gold
2022-05-04,BUY,10,1867.0,1815.9000244140625,-2.7370099403287362,gold
2022-06-15,BUY,10,1815.300048828125,1804.0999755859375,-0.6169819281070232,gold
2022-07-27,BUY,10,1719.0999755859375,1795.5999755859375,4.450002971696033,gold
2022-08-02,SELL,10,1771.0999755859375,1773.199951171875,-0.11856900315538425,gold
2022-09-19,BUY,10,1666.199951171875,1692.9000244140625,1.6024531283540582,gold
2022-09-26,BUY,10,1623.300048828125,1667.300048828125,2.7105278553871783,gold
2022-10-11,SELL,10,1678.699951171875,1652.800048828125,1.5428547743549805,gold
2022-11-02,SELL,10,1645.699951171875,1773.0,-7.735313398865741,gold
2022-12-01,SELL,10,1801.0999755859375,1777.199951171875,1.3269682270850787,gold
2023-01-19,BUY,10,1922.0999755859375,1916.300048828125,-0.30174948397491325,gold
2023-01-31,SELL,10,1929.5,1854.0,3.912930811090956,gold
2023-02-01,BUY,10,1927.800048828125,1834.199951171875,-4.855280386217845,gold
2023-03-17,BUY,10,1969.800048828125,1969.0,-0.040615738059351036,gold
2023-03-22,BUY,10,1946.800048828125,2020.9000244140625,3.8062447979977163,gold
2023-04-13,SELL,10,2041.300048828125,1989.9000244140625,2.5180043690083855,gold
2023-04-14,BUY,10,2002.199951171875,1990.0999755859375,-0.6043340266218397,gold
2023-05-02,SELL,10,2014.300048828125,1988.4000244140625,1.2858076645100893,gold
2023-07-27,BUY,10,1945.4000244140625,1914.4000244140625,-1.5935026015709508,gold
2023-08-29,SELL,10,1936.5,1909.0999755859375,1.414925092386393,gold
2023-09-27,BUY,10,1871.5999755859375,1872.800048828125,0.0641201783416243,gold
2023-10-13,SELL,10,1927.4000244140625,1988.5999755859375,-3.175259437411289,gold
2023-11-10,BUY,10,1932.5999755859375,2011.800048828125,4.098110019802475,gold
2023-11-16,SELL,10,1983.9000244140625,2071.0,-4.390340970516504,gold
2023-12-04,BUY,10,2024.0999755859375,2026.300048828125,0.10869390191809185,gold
2024-02-13,BUY,10,1992.9000244140625,2033.0,2.012141858331674,gold
2024-03-01,SELL,10,2086.89990234375,2157.300048828125,-3.3734318740113114,gold
2024-03-04,SELL,10,2117.699951171875,2160.699951171875,-2.030504839753385,gold
2024-04-05,SELL,10,2325.699951171875,2398.39990234375,-3.1259385431574227,gold
2024-04-22,BUY,10,2332.199951171875,2321.60009765625,-0.4545002031364775,gold
2024-06-07,BUY,10,2305.199951171875,2330.0,1.0758307024741003,gold
2024-10-31,BUY,10,2738.300048828125,2568.199951171875,-6.211886740791812,gold
2024-11-06,BUY,10,2667.60009765625,2648.199951171875,-0.7272509287062909,gold
2024-11-11,BUY,10,2611.199951171875,2616.800048828125,0.2144645282233842,gold
2024-11-25,BUY,10,2616.800048828125,2697.60009765625,3.087742560395835,gold
2025-02-14,BUY,10,2883.60009765625,2890.199951171875,0.22887547829497124,gold
2025-02-25,BUY,10,2904.5,2912.89990234375,0.2892030416164572,gold
2025-04-03,BUY,10,3097.0,3308.699951171875,6.835645824083791,gold
2025-04-04,BUY,10,3012.0,3406.199951171875,13.08764778127075,gold
2025-07-21,SELL,10,3401.89990234375,3374.39990234375,0.808371815439184,gold
2025-10-09,BUY,10,3946.300048828125,4125.5,4.54096112699513,gold
2025-10-17,BUY,10,4189.89990234375,3982.199951171875,-4.95715783223584,gold
2025-10-21,BUY,10,4087.699951171875,3947.699951171875,-3.424908913871341,gold
2025-12-22,SELL,10,4444.60009765625,4449.2998046875,-0.10573970499006816,gold
2025-12-29,BUY,10,4325.10009765625,4589.2001953125,6.106219317313939,gold
2026-01-29,BUY,10,5318.39990234375,4923.7001953125,-7.421399561498017,gold
2026-01-30,BUY,10,4713.89990234375,5022.0,6.535991515285734,gold
2021-04-28,BUY,20,1773.199951171875,1901.300048828125,7.224233091794923,gold
2021-05-19,SELL,20,1881.300048828125,1773.800048828125,5.714133695311522,gold
2021-06-16,SELL,20,1859.5,1828.4000244140625,1.6724912926021782,gold
2021-07-28,BUY,20,1799.5,1788.199951171875,-0.6279549223742706,gold
2021-08-09,BUY,20,1723.4000244140625,1795.9000244140625,4.206800451024087,gold
2021-09-17,BUY,20,1749.4000244140625,1767.199951171875,1.0174875105408976,gold
2021-09-22,SELL,20,1776.699951171875,1784.0999755859375,-0.41650389021407896,gold
2021-09-29,BUY,20,1721.5,1797.9000244140625,4.4379915430765315,gold
2021-11-03,BUY,20,1763.5999755859375,1760.699951171875,-0.16443776673896798,gold
2021-11-29,BUY,20,1782.300048828125,1810.199951171875,1.56538750936434,gold
2021-12-02,BUY,20,1760.699951171875,1827.5,3.7939484682591527,gold
2022-02-11,BUY,20,1840.800048828125,1959.5999755859375,6.453711625738055,gold
2022-03-08,SELL,20,2040.0999755859375,1922.9000244140625,5.744814105897627,gold
2022-03-16,BUY,20,1908.0,1981.0,3.8259958071278826,gold
2022-04-29,SELL,20,1909.300048828125,1851.300048828125,3.037762453083201,gold
2022-05-04,BUY,20,1867.0,1866.5,-0.02678093197643278,gold
2022-06-15,BUY,20,1815.300048828125,1702.4000244140625,-6.219358859542014,gold
2022-07-27,BUY,20,1719.0999755859375,1747.800048828125,1.6694824995506952,gold
2022-08-02,SELL,20,1771.0999755859375,1723.199951171875,2.704535321232536,gold
2022-09-19,BUY,20,1666.199951171875,1657.0,-0.5521516889617283,gold
2022-09-26,BUY,20,1623.300048828125,1648.699951171875,1.564707791519283,gold
2022-10-11,SELL,20,1678.699951171875,1712.0999755859375,-1.98963634869629,gold
2022-11-02,SELL,20,1645.699951171875,1801.0999755859375,-9.442792065674231,gold
2022-12-01,SELL,20,1801.0999755859375,1819.699951171875,-1.0327008960114232,gold
2023-01-19,BUY,20,1922.0999755859375,1842.0,-4.167315779790259,gold
2023-01-31,SELL,20,1929.5,1837.699951171875,4.757711781711584,gold
2023-02-01,BUY,20,1927.800048828125,1833.5,-4.8915886730809195,gold
2023-03-17,BUY,20,1969.800048828125,1994.199951171875,1.2386994486199758,gold
2023-03-22,BUY,20,1946.800048828125,2007.5999755859375,3.1230699215572226,gold
2023-04-13,SELL,20,2041.300048828125,2014.699951171875,1.3030959202455639,gold
2023-04-14,BUY,20,2002.199951171875,2014.5,0.6143266970377189,gold
2023-05-02,SELL,20,2014.300048828125,1963.9000244140625,2.502111065498118,gold
2023-07-27,BUY,20,1945.4000244140625,1918.199951171875,-1.3981737894950383,gold
2023-08-29,SELL,20,1936.5,1871.5999755859375,3.3514084386296155,gold
2023-09-27,BUY,20,1871.5999755859375,1984.0999755859375,6.010899843316139,gold
2023-10-13,SELL,20,1927.4000244140625,1932.5999755859375,-0.26979096741766445,gold
2023-11-10,BUY,20,1932.5999755859375,1978.0,2.349168218337468,gold
2023-11-16,SELL,20,1983.9000244140625,2021.0999755859375,-1.8750920265179123,gold
2023-12-04,BUY,20,2024.0999755859375,2034.199951171875,0.4989860040393387,gold
2024-02-13,BUY,20,1992.9000244140625,2175.39990234375,9.157502920064681,gold
2024-03-01,SELL,20,2086.89990234375,2236.5,-7.168532495891994,gold
2024-03-04,SELL,20,2117.699951171875,2261.0,-6.7667777368000985,gold
2024-04-05,SELL,20,2325.699951171875,2299.0,1.1480393744868684,gold
2024-04-22,BUY,20,2332.199951171875,2433.89990234375,4.36068747539306,gold
2024-06-07,BUY,20,2305.199951171875,2360.10009765625,2.3815785028307794,gold
2024-10-31,BUY,20,2738.300048828125,2657.0,-2.968997092298849,gold
2024-11-06,BUY,20,2667.60009765625,2626.60009765625,-1.536962007012316,gold
2024-11-11,BUY,20,2611.199951171875,2697.60009765625,3.3088292011341247,gold
2024-11-25,BUY,20,2616.800048828125,2620.0,0.12228489422827801,gold
2025-02-14,BUY,20,2883.60009765625,3000.0,4.036617367240285,gold
2025-02-25,BUY,20,2904.5,3023.699951171875,4.103974906933207,gold
2025-04-03,BUY,20,3097.0,3231.89990234375,4.355825067605747,gold
2025-04-04,BUY,20,3012.0,3311.300048828125,9.93692061182354,gold
2025-07-21,SELL,20,3401.89990234375,3331.699951171875,2.063551344456388,gold
2025-10-09,BUY,20,3946.300048828125,3979.89990234375,0.8514267313658184,gold
2025-10-17,BUY,20,4189.89990234375,4087.60009765625,-2.441581113436038,gold
2025-10-21,BUY,20,4087.699951171875,4061.300048828125,-0.6458375775888734,gold
2025-12-22,SELL,20,4444.60009765625,4908.7998046875,-10.4441276342507,gold
2025-12-29,BUY,20,4325.10009765625,5301.60009765625,22.57751214889016,gold
2026-01-29,BUY,20,5318.39990234375,5230.5,-1.6527509017329376,gold
2026-01-30,BUY,20,4713.89990234375,5294.39990234375,12.31464418053034,gold
2021-04-28,BUY,5,26.08099937438965,26.50200080871582,1.6142074476623625,silver
2021-05-19,SELL,5,28.007999420166016,27.85300064086914,0.5534089635308778,silver
2021-06-16,SELL,5,27.799999237060547,26.107999801635746,6.086329071438154,silver
2021-07-28,BUY,5,24.856000900268555,25.445999145507812,2.373665207072322,silver
2021-07-29,SELL,5,25.763999938964844,25.277000427246097,1.8902325449171433,silver
2021-08-09,BUY,5,23.2549991607666,23.780000686645508,2.2575856582469105,silver
2021-09-16,BUY,5,22.75200080871582,22.642000198364254,-0.4834766457525226,silver
2021-09-22,SELL,5,22.868999481201172,21.458999633789062,6.165551092740898,silver
2021-10-19,SELL,5,23.86199951171875,24.086000442504883,-0.9387349567085725,silver
2021-11-03,BUY,5,23.22599983215332,24.767000198364254,6.634807445738559,silver
2021-11-29,BUY,5,22.798999786376953,22.22800064086914,-2.5044920867493525,silver
2021-12-01,BUY,5,22.298999786376953,22.38999938964844,0.40808827365917094,silver
2022-01-12,SELL,5,23.200000762939453,24.711000442504883,-6.512929439119489,silver
2022-02-24,SELL,5,24.68600082397461,25.204999923706055,-2.102402505096745,silver
2022-03-08,SELL,5,26.88800048828125,25.12299919128418,6.564271291821498,silver
2022-03-16,BUY,5,24.670000076293945,25.170000076293945,2.026753135199473,silver
2022-05-04,BUY,5,22.36199951171875,21.549999237060547,-3.631161311101346,silver
2022-06-15,BUY,5,21.402000427246097,21.031999588012695,-1.7288142783249718,silver
2022-07-01,BUY,5,19.597000122070312,19.066999435424805,-2.704499073042391,silver
2022-07-14,BUY,5,18.16900062561035,18.687000274658203,2.85100793225632,silver
2022-07-27,BUY,5,18.55299949645996,19.864999771118164,7.0716342923878255,silver
2022-08-02,SELL,5,20.104999542236328,20.45800018310547,-1.7557853713329432,silver
