date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2022-09-15,SELL,5,19.174999237060547,19.54800033569336,-1.9452470063826306,silver
2022-09-26,BUY,5,18.4060001373291,20.518999099731445,11.479946466570881,silver
2022-10-11,SELL,5,19.427000045776367,18.570999145507812,4.4062433636255545,silver
2022-11-02,SELL,5,19.600000381469727,21.29800033569336,-8.663264903958673,silver
2022-12-01,SELL,5,22.636999130249023,23.062999725341797,-1.881877507887182,silver
2022-12-06,BUY,5,22.12299919128418,23.801000595092773,7.584873051343227,silver
2023-02-01,BUY,5,23.520999908447266,22.367000579833984,-4.906251150482923,silver
2023-03-14,SELL,5,21.929000854492188,22.323999404907227,-1.8012610471220947,silver
2023-04-13,SELL,5,25.874000549316406,25.368000030517575,1.9556330990810011,silver
2023-04-14,BUY,5,25.423999786376953,25.05299949645996,-1.4592522539108375,silver
2023-05-02,SELL,5,25.40399932861328,25.697999954223633,-1.1573005565277663,silver
2023-05-11,BUY,5,24.2549991607666,23.4950008392334,-3.1333677502761157,silver
2023-06-08,SELL,5,24.263999938964844,23.891000747680664,1.537253512291645,silver
2023-07-12,SELL,5,24.118999481201172,25.2189998626709,-4.56072144421699,silver
2023-07-27,BUY,5,24.236000061035156,23.586000442504883,-2.681959138856806,silver
2023-08-23,SELL,5,24.363000869750977,24.733999252319336,-1.5227942754334085,silver
2023-10-02,BUY,5,21.218000411987305,21.74099922180176,2.4648826452043227,silver
2023-10-13,SELL,5,22.72699928283691,23.35099983215332,-2.745635451256628,silver
2023-11-14,SELL,5,23.07900047302246,23.843000411987305,-3.3103684011701446,silver
2023-12-04,BUY,5,24.55500030517578,22.77300071716309,-7.257175996194453,silver
2024-01-03,BUY,5,22.945999145507812,22.88400077819824,-0.2701924937607758,silver
2024-02-13,BUY,5,22.09600067138672,22.85099983215332,3.4169041357076444,silver
2024-03-21,BUY,5,24.849000930786133,24.79700088500977,-0.20926413066345578,silver
2024-04-22,BUY,5,27.21299934387207,27.37299919128418,0.5879537400133689,silver
2024-05-17,SELL,5,31.04700088500977,30.329999923706055,2.3094049050319048,silver
2024-06-04,BUY,5,29.488000869750977,29.132999420166016,-1.2038844245597002,silver
2024-06-07,BUY,5,29.334999084472656,29.402000427246097,0.22840069836206545,silver
2024-07-17,BUY,5,30.136999130249023,29.11599922180176,-3.387861890411202,silver
2024-08-05,BUY,5,27.076000213623047,27.91699981689453,3.1060703081555707,silver
2024-08-08,SELL,5,27.5,28.34199905395508,-3.0618147416548425,silver
2024-10-08,BUY,5,30.354999542236328,31.527000427246097,3.860981395763266,silver
2024-11-06,BUY,5,31.22100067138672,30.59000015258789,-2.0210771763543267,silver
2024-12-09,SELL,5,32.215999603271484,30.69700050354004,4.715045686731364,silver
2025-01-15,SELL,5,31.319000244140625,30.67300033569336,2.0626453699400056,silver
2025-04-03,BUY,5,31.8439998626709,30.67099952697754,-3.6835835345810564,silver
2025-04-04,BUY,5,29.11599922180176,31.823999404907227,9.300728999462752,silver
2025-06-02,SELL,5,34.5629997253418,36.6879997253418,-6.148193203386619,silver
2025-07-11,SELL,5,38.67599868774414,38.222999572753906,1.1712667555079403,silver
2025-08-22,SELL,5,39.00299835205078,40.20000076293945,-3.0690010036772812,silver
2025-08-29,SELL,5,40.20000076293945,41.42599868774414,-3.0497460237238103,silver
2025-09-17,BUY,5,41.72200012207031,43.777000427246094,4.9254597075002575,silver
2025-10-07,BUY,5,47.17900085449219,50.31399917602539,6.6449018943874085,silver
2025-10-09,BUY,5,46.849998474121094,53.02299880981445,13.176095062421803,silver
2025-10-10,BUY,5,46.9379997253418,49.86399841308594,6.2337524071448565,silver
2025-10-17,BUY,5,49.86399841308594,48.37699890136719,-2.982110458531767,silver
2025-10-21,BUY,5,47.45000076293945,47.125,-0.6849331037172355,silver
2025-11-28,SELL,5,56.44599914550781,58.422000885009766,-3.5006940605447867,silver
2025-12-29,BUY,5,69.85600280761719,80.52999877929688,15.279998200120007,silver
2026-01-30,BUY,5,78.29000091552734,76.73500061035156,-1.9862055013303446,silver
2021-04-28,BUY,10,26.08099937438965,27.231000900268555,4.40934608896987,silver
2021-05-19,SELL,10,28.007999420166016,27.459999084472656,1.9565850722590137,silver
2021-06-16,SELL,10,27.799999237060547,26.165000915527344,5.881289087783734,silver
2021-07-28,BUY,10,24.856000900268555,23.474000930786133,-5.560025424152162,silver
2021-07-29,SELL,10,25.763999938964844,23.104999542236328,10.320603955238754,silver
2021-08-09,BUY,10,23.2549991607666,23.64900016784668,1.6942636908144695,silver
2021-09-16,BUY,10,22.75200080871582,22.020999908447266,-3.2129082027305635,silver
2021-09-22,SELL,10,22.868999481201172,22.506000518798828,1.5872970861743951,silver
2021-10-19,SELL,10,23.86199951171875,23.5,1.5170543924492588,silver
2021-11-03,BUY,10,23.22599983215332,25.16699981689453,8.357013686248948,silver
2021-11-29,BUY,10,22.798999786376953,22.290000915527344,-2.2325491276759895,silver
2021-12-01,BUY,10,22.298999786376953,21.507999420166016,-3.5472459473011004,silver
2022-01-12,SELL,10,23.200000762939453,22.67300033569336,2.271553491015155,silver
2022-02-24,SELL,10,24.68600082397461,26.20199966430664,-6.141127723125246,silver
2022-03-08,SELL,10,26.88800048828125,24.885000228881836,7.449420644991409,silver
2022-03-16,BUY,10,24.670000076293945,25.10300064086914,1.7551705035918383,silver
2022-05-04,BUY,10,22.36199951171875,21.53300094604492,-3.707175493136904,silver
2022-06-15,BUY,10,21.402000427246097,20.281999588012695,-5.233159596649528,silver
2022-07-01,BUY,10,19.597000122070312,18.791000366210938,-4.112873148128682,silver
2022-07-14,BUY,10,18.16900062561035,19.82699966430664,9.125427825453619,silver
2022-07-27,BUY,10,18.55299949645996,20.718000411987305,11.669277067249642,silver
2022-08-02,SELL,10,20.104999542236328,20.065000534057617,0.19895055503324696,silver
2022-09-15,SELL,10,19.174999237060547,18.611000061035156,2.9413256764846136,silver
2022-09-26,BUY,10,18.4060001373291,19.555999755859375,6.247960501738593,silver
2022-10-11,SELL,10,19.427000045776367,19.339000701904297,0.45297443591246755,silver
2022-11-02,SELL,10,19.600000381469727,21.503999710083008,-9.714282099776714,silver
2022-12-01,SELL,10,22.636999130249023,23.128000259399418,-2.169020400298053,silver
2022-12-06,BUY,10,22.12299919128418,24.0939998626709,8.909283295382643,silver
2023-02-01,BUY,10,23.520999908447266,21.54599952697754,-8.396753493291884,silver
2023-03-14,SELL,10,21.929000854492188,23.323999404907227,-6.361432331876039,silver
2023-04-13,SELL,10,25.874000549316406,24.982999801635746,3.443614163887775,silver
2023-04-14,BUY,10,25.423999786376953,24.999000549316406,-1.6716458489284443,silver
2023-05-02,SELL,10,25.40399932861328,23.73699951171875,6.561958199301871,silver
2023-05-11,BUY,10,24.2549991607666,22.785999298095703,-6.056482842708411,silver
2023-06-08,SELL,10,24.263999938964844,22.32799911499023,7.978902196029296,silver
2023-07-12,SELL,10,24.118999481201172,24.825000762939453,-2.9271582442238233,silver
2023-07-27,BUY,10,24.236000061035156,22.746000289916992,-6.147878228114363,silver
2023-08-23,SELL,10,24.363000869750977,22.950000762939453,5.799778583786449,silver
2023-10-02,BUY,10,21.218000411987305,22.61000061035156,6.560468335073794,silver
2023-10-13,SELL,10,22.72699928283691,22.770000457763672,-0.1892074461375779,silver
2023-11-14,SELL,10,23.07900047302246,25.07200050354004,-8.635556088519685,silver
2023-12-04,BUY,10,24.55500030517578,23.83099937438965,-2.948486751325862,silver
2024-01-03,BUY,10,22.945999145507812,22.66699981689453,-1.2158953151007224,silver
2024-02-13,BUY,10,22.09600067138672,22.40999984741211,1.4210679149372256,silver
2024-03-21,BUY,10,24.849000930786133,27.399999618530273,10.266001014888433,silver
2024-04-22,BUY,10,27.21299934387207,27.368999481201172,0.5732559478572519,silver
2024-05-17,SELL,10,31.04700088500977,30.641000747680664,1.307695190375479,silver
2024-06-04,BUY,10,29.488000869750977,29.5049991607666,0.05764477249816545,silver
2024-06-07,BUY,10,29.334999084472656,29.48900032043457,0.5249744018005735,silver
2024-07-17,BUY,10,30.136999130249023,28.777999877929688,-4.509404690380354,silver
2024-08-05,BUY,10,27.076000213623047,29.239999771118164,7.992316222564957,silver
2024-08-08,SELL,10,27.5,29.006000518798828,-5.476365522904829,silver
2024-10-08,BUY,10,30.354999542236328,34.83100128173828,14.745517400762889,silver
2024-11-06,BUY,10,31.22100067138672,30.95599937438965,-0.84879181095543,silver
2024-12-09,SELL,10,32.215999603271484,29.88800048828125,7.22622033666101,silver
2025-01-15,SELL,10,31.319000244140625,32.36399841308594,-3.336626842489386,silver
2025-04-03,BUY,10,31.8439998626709,32.41999816894531,1.8088126766688866,silver
2025-04-04,BUY,10,29.11599922180176,32.49599838256836,11.608734891831189,silver
2025-06-02,SELL,10,34.5629997253418,36.37900161743164,-5.254179054251302,silver
2025-07-11,SELL,10,38.67599868774414,38.16699981689453,1.3160587654350697,silver
2025-08-22,SELL,10,39.00299835205078,41.42599868774414,-6.212343763478784,silver
2025-08-29,SELL,10,40.20000076293945,42.516998291015625,-5.763675333589101,silver
2025-09-17,BUY,10,41.72200012207031,47.290000915527344,13.345479068995166,silver
2025-10-07,BUY,10,47.17900085449219,47.45000076293945,0.5744079008435851,silver
2025-10-09,BUY,10,46.849998474121094,48.48199844360352,3.483457892498993,silver
2025-10-10,BUY,10,46.9379997253418,48.37699890136719,3.0657445661206477,silver
2025-10-17,BUY,10,49.86399841308594,47.99399948120117,-3.750198522776339,silver
2025-10-21,BUY,10,47.45000076293945,47.130001068115234,-0.674393445055859,silver
2025-11-28,SELL,10,56.44599914550781,61.36199951171875,-8.709209581955237,silver
2025-12-29,BUY,10,69.85600280761719,85.87699890136719,22.934315520273444,silver
2026-01-30,BUY,10,78.29000091552734,77.85099792480469,-0.5607395396461009,silver
2021-04-28,BUY,20,26.08099937438965,27.85300064086914,6.794223032034258,silver
2021-05-19,SELL,20,28.007999420166016,25.8439998626709,7.7263624760611,silver
2021-06-16,SELL,20,27.799999237060547,26.375,5.1258966768634355,silver
2021-07-28,BUY,20,24.856000900268555,23.770999908447266,-4.365147057142109,silver
2021-07-29,SELL,20,25.763999938964844,23.54599952697754,8.608913279156063,silver
2021-08-09,BUY,20,23.2549991607666,24.333999633789062,4.639864596696428,silver
2021-09-16,BUY,20,22.75200080871582,23.45599937438965,3.094227059820343,silver
2021-09-22,SELL,20,22.868999481201172,24.423999786376953,-6.799599197393949,silver
2021-10-19,SELL,20,23.86199951171875,24.944000244140625,-4.534409330997174,silver
2021-11-03,BUY,20,23.22599983215332,22.280000686645508,-4.073017964110212,silver
2021-11-29,BUY,20,22.798999786376953,23.111000061035156,1.3684822912478471,silver
2021-12-01,BUY,20,22.298999786376953,23.027999877929688,3.269205338968162,silver
2022-01-12,SELL,20,23.200000762939453,23.518999099731445,-1.374992785782887,silver
2022-02-24,SELL,20,24.68600082397461,25.899999618530273,-4.917762108217422,silver
2022-03-08,SELL,20,26.88800048828125,24.527999877929688,8.777151768425975,silver
2022-03-16,BUY,20,24.670000076293945,26.020000457763672,5.4722350113285065,silver
2022-05-04,BUY,20,22.36199951171875,22.253999710083008,-0.48296129144956457,silver
2022-06-15,BUY,20,21.402000427246097,18.54800033569336,-13.335202479107586,silver
2022-07-01,BUY,20,19.597000122070312,20.32200050354004,3.69954777238188,silver
2022-07-14,BUY,20,18.16900062561035,20.326000213623047,11.871866991805089,silver
2022-07-27,BUY,20,18.55299949645996,18.895000457763672,1.84337288085933,silver
2022-08-02,SELL,20,20.104999542236328,18.159000396728516,9.679180252750974,silver
2022-09-15,SELL,20,19.174999237060547,18.857999801635746,1.6531913848117363,silver
2022-09-26,BUY,20,18.4060001373291,19.173999786376953,4.172550490697194,silver
2022-10-11,SELL,20,19.427000045776367,21.47699928283691,-10.552320132959666,silver
2022-11-02,SELL,20,19.600000381469727,22.636999130249023,-15.494891273831518,silver
2022-12-01,SELL,20,22.636999130249023,23.86199951171875,-5.411496349058042,silver
2022-12-06,BUY,20,22.12299919128418,23.257999420166016,5.13040849058564,silver
2023-02-01,BUY,20,23.520999908447266,20.766000747680664,-11.712933852685314,silver
2023-03-14,SELL,20,21.929000854492188,25.40399932861328,-15.846588256250788,silver
2023-04-13,SELL,20,25.874000549316406,24.2549991607666,6.257251890614877,silver
2023-04-14,BUY,20,25.423999786376953,23.992000579833984,-5.6324701800472905,silver
2023-05-02,SELL,20,25.40399932861328,23.474000930786133,7.597222676877234,silver
2023-05-11,BUY,20,24.2549991607666,24.333999633789062,0.3257080014673728,silver
2023-06-08,SELL,20,24.263999938964844,23.150999069213867,4.587046128217471,silver
2023-07-12,SELL,20,24.118999481201172,22.649999618530273,6.090633501675168,silver
2023-07-27,BUY,20,24.236000061035156,24.211000442504883,-0.10315076112937453,silver
2023-08-23,SELL,20,24.363000869750977,23.444000244140625,3.772115883931933,silver
2023-10-02,BUY,20,21.218000411987305,23.281999588012695,9.727585710005526,silver
2023-10-13,SELL,20,22.72699928283691,22.21500015258789,2.2528232780632593,silver
2023-11-14,SELL,20,23.07900047302246,22.638999938964844,1.9064973570755077,silver
2023-12-04,BUY,20,24.55500030517578,22.945999145507812,-6.552641578785964,silver
2024-01-03,BUY,20,22.945999145507812,23.1299991607666,0.8018827774375261,silver
2024-02-13,BUY,20,22.09600067138672,24.958999633789062,12.957091217460873,silver
2024-03-21,BUY,20,24.849000930786133,28.808000564575195,15.932228602736883,silver
2024-04-22,BUY,20,27.21299934387207,32.20500183105469,18.344183322470613,silver
2024-05-17,SELL,20,31.04700088500977,29.325000762939453,5.546429841800722,silver
2024-06-04,BUY,20,29.488000869750977,30.54800033569336,3.5946806656185992,silver
2024-06-07,BUY,20,29.334999084472656,30.77199935913086,4.898586396816435,silver
2024-07-17,BUY,20,30.136999130249023,27.253999710083008,-9.566312185582868,silver
2024-08-05,BUY,20,27.076000213623047,27.951000213623047,3.2316442351029067,silver
2024-08-08,SELL,20,27.5,27.808000564575195,-1.1200020530007102,silver
2024-10-08,BUY,20,30.354999542236328,32.654998779296875,7.577003036551851,silver
2024-11-06,BUY,20,31.22100067138672,31.13400077819824,-0.2786582470696187,silver
2024-12-09,SELL,20,32.215999603271484,30.45199966430664,5.475539982269283,silver
2025-01-15,SELL,20,31.319000244140625,32.650001525878906,-4.249820464774555,silver
2025-04-03,BUY,20,31.8439998626709,31.98900032043457,0.45534624541199215,silver
2025-04-04,BUY,20,29.11599922180176,32.20500183105469,10.609296235108815,silver
2025-06-02,SELL,20,34.5629997253418,36.082000732421875,-4.394876078902196,silver
2025-07-11,SELL,20,38.67599868774414,38.41699981689453,0.6696630459129743,silver
2025-08-22,SELL,20,39.00299835205078,43.79899978637695,-12.296494210614958,silver
2025-08-29,SELL,20,40.20000076293945,46.61199951171875,-15.950245341016375,silver
2025-09-17,BUY,20,41.72200012207031,51.073001861572266,22.412640123059234,silver
2025-10-07,BUY,20,47.17900085449219,47.130001068115234,-0.10385931344344602,silver
2025-10-09,BUY,20,46.849998474121094,47.79399871826172,2.014941888764564,silver
2025-10-10,BUY,20,46.9379997253418,48.016998291015625,2.2987740678929645,silver
2025-10-17,BUY,20,49.86399841308594,50.59000015258789,1.4559637466044573,silver
2025-10-21,BUY,20,47.45000076293945,50.45000076293945,6.322444576951688,silver
2025-11-28,SELL,20,56.44599914550781,69.85600280761719,-23.757226136684647,silver
2025-12-29,BUY,20,69.85600280761719,113.11100006103516,61.92022949343644,silver
2026-01-30,BUY,20,78.29000091552734,88.28399658203125,12.76535387614459,silver
